stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr,,
CNY=X,6.2099,31840,6.2441,1088.928,0.55,2014-12-22,2015-02-23,40,328,80,0.635034381,0.008454242,75.11428571,,
INR=X,62.17,3320,62.515,1145.4,0.55,2015-02-13,2015-03-30,29,77,58,0.117580827,0.046324594,2.538194444,,
IDR=X,12285,17,12975,11730,5.62,2014-12-09,2015-04-15,83,99,165,1.0004884,0.057794058,17.31126761,,
EURSEK=X,9.3378,22208,9.329,-195.4304,-0.09,2015-04-24,2015-05-07,8,53,16,0.066321832,0.018087772,3.666666667,,
EURSEK=X,9.329,22224,9.2717,-1273.4352,-0.61,2015-05-07,2015-05-28,14,53,27,0.066384393,0.018104834,3.666666667,,
EURCHF=X,1.0474,197950,1.0336,-2731.71,-1.32,2015-05-18,2015-05-29,8,68,15,0.054897842,0.020622494,2.662037037,,
EURJPY=X,139.402,1477,140.433,1522.787,0.74,2015-06-05,2015-06-18,9,94,17,0.073456622,0.027467325,2.674327501,,
MYR=X,3.7523,55034,3.795,2349.9518,1.14,2015-06-25,2015-07-08,8,54,16,0.056205527,0.022199718,2.531812725,,
THB=X,33.729,6122,34.176,2736.534,1.33,2015-06-30,2015-07-16,11,88,21,0.053751964,0.014320021,3.753623188,,
EURHUF=X,314.37,656,309.25,-3358.72,-1.63,2015-07-01,2015-07-16,11,143,22,0.098132773,0.01750167,5.607051981,,
INR=X,62.878,3298,63.664,2592.228,1.25,2015-04-22,2015-07-23,63,322,125,0.138045103,0.045802984,3.013888889,,
MYR=X,3.795,55111,3.8015,358.2215,0.17,2015-07-08,2015-07-29,15,54,29,0.055573123,0.021949934,2.531812725,,
IDR=X,13745,15,13675,-1050,-0.51,2015-08-13,2015-08-14,1,83,65,0.069698072,0.004001455,17.41818182,1037838.303,4.529976562
IDR=X,13675,15,14275,9000,4.39,2015-08-14,2015-09-08,16,83,65,0.070054845,0.004021938,17.41818182,,
EURHUF=X,312.79,666,313.571,520.146,0.25,2015-08-25,2015-09-30,24,173,47,0.098628473,0.03571086,2.761862131,,
CNY=X,6.1992,33444,6.348,4976.4672,2.4,2015-05-12,2015-10-23,112,328,223,0.636130468,0.008468835,75.11428571,,
JPY=X,120.949,1740,122.912,3415.62,1.62,2015-10-27,2015-11-20,18,44,31,0.072485097,0.026035767,2.784058431,,
