stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
9626.HK,152.3000030517578,194,144.39999389648438,-1532.6017761230469,2022-09-13 18:34:35.696988,2022-09-14 18:34:35.696988
9626.HK,144.39999389648438,201,131.0,-2693.3987731933594,2022-09-14 18:34:35.696988,2022-09-19 18:34:35.696988
9626.HK,131.0,215,128.0,-645.0,2022-09-19 18:34:35.696988,2022-09-26 18:34:35.696988
0388.HK,279.6000061035156,100,266.6000061035156,-1300.0,2022-09-26 18:34:35.696988,2022-10-03 18:34:35.696988
0316.HK,140.39999389648438,199,138.0,-477.5987854003906,2022-09-27 18:34:35.696988,2022-10-03 18:34:35.696988
9626.HK,121.80000305175781,230,120.4000015258789,-322.00035095214844,2022-09-28 18:34:35.696988,2022-10-03 18:34:35.696988
1211.HK,192.0,142,209.8000030517578,2527.6004333496094,2022-10-03 18:34:35.696988,2022-10-05 18:34:35.696988
1211.HK,209.8000030517578,134,197.5,-1648.2004089355469,2022-10-05 18:34:35.696988,2022-10-07 18:34:35.696988
0316.HK,135.10000610351562,208,127.5,-1580.80126953125,2022-10-06 18:34:35.696988,2022-10-10 18:34:35.696988
9866.HK,112.0,244,103.5,-2074.0,2022-10-07 18:34:35.696988,2022-10-11 18:34:35.696988
9866.HK,103.5,254,94.75,-2222.5,2022-10-11 18:34:35.696988,2022-10-17 18:34:35.696988
9961.HK,187.39999389648438,140,197.10000610351562,1358.001708984375,2022-10-13 18:34:35.696988,2022-10-18 18:34:35.696988
9626.HK,92.94999694824219,286,98.75,1658.8008728027344,2022-10-14 18:34:35.696988,2022-10-18 18:34:35.696988
9866.HK,92.6500015258789,302,87.3499984741211,-1600.6009216308594,2022-10-19 18:34:35.696988,2022-10-20 18:34:35.696988
0388.HK,252.1999969482422,95,228.1999969482422,-2280.0,2022-10-17 18:34:35.696988,2022-10-24 18:34:35.696988
9618.HK,162.0,167,141.8000030517578,-3373.3994903564453,2022-10-20 18:34:35.696988,2022-10-24 18:34:35.696988
0700.HK,232.8000030517578,117,206.1999969482422,-3112.200714111328,2022-10-21 18:34:35.696988,2022-10-24 18:34:35.696988
0700.HK,206.1999969482422,112,205.60000610351562,-67.198974609375,2022-10-24 18:34:35.696988,2022-10-31 18:34:35.696988
0388.HK,209.0,110,226.39999389648438,1913.9993286132812,2022-10-31 18:34:35.696988,2022-11-01 18:34:35.696988
0388.HK,226.39999389648438,105,236.1999969482422,1029.0003204345703,2022-11-01 18:34:35.696988,2022-11-02 18:34:35.696988
0388.HK,236.1999969482422,102,246.1999969482422,1020.0,2022-11-02 18:34:35.696988,2022-11-04 18:34:35.696988
9626.HK,72.55000305175781,333,85.0,4145.848983764648,2022-11-03 18:34:35.696988,2022-11-04 18:34:35.696988
9866.HK,88.0999984741211,293,93.6500015258789,1626.150894165039,2022-11-04 18:34:35.696988,2022-11-07 18:34:35.696988
0316.HK,128.8000030517578,205,121.5999984741211,-1476.0009384155273,2022-11-07 18:34:35.696988,2022-11-10 18:34:35.696988
9866.HK,70.3499984741211,368,84.69999694824219,5280.7994384765625,2022-11-10 18:34:35.696988,2022-11-11 18:34:35.696988
9866.HK,84.69999694824219,326,92.30000305175781,2477.6019897460938,2022-11-11 18:34:35.696988,2022-11-14 18:34:35.696988
9866.HK,92.30000305175781,308,83.6500015258789,-2664.200469970703,2022-11-14 18:34:35.696988,2022-11-17 18:34:35.696988
1211.HK,184.60000610351562,149,175.0,-1430.4009094238281,2022-11-18 18:34:35.696988,2022-11-23 18:34:35.696988
0316.HK,127.5999984741211,216,134.5,1490.4003295898438,2022-11-22 18:34:35.696988,2022-11-24 18:34:35.696988
3690.HK,138.39999389648438,194,139.39999389648438,194.0,2022-11-23 18:34:35.696988,2022-11-28 18:34:35.696988
1211.HK,172.8000030517578,160,182.0,1471.99951171875,2022-11-28 18:34:35.696988,2022-11-29 18:34:35.696988
1211.HK,182.0,154,191.5,1463.0,2022-11-29 18:34:35.696988,2022-11-30 18:34:35.696988
9999.HK,112.19999694824219,255,108.5,-943.4992218017578,2022-12-08 18:34:35.696988,2022-12-13 18:34:35.696988
2382.HK,94.44999694824219,300,95.55000305175781,330.0018310546875,2022-12-14 18:34:35.696988,2022-12-19 18:34:35.696988
9866.HK,94.44999694824219,300,86.3499984741211,-2429.999542236328,2022-12-16 18:34:35.696988,2022-12-20 18:34:35.696988
9866.HK,86.4000015258789,315,90.25,1212.7495193481445,2022-12-21 18:34:35.696988,2022-12-22 18:34:35.696988
0669.HK,88.0999984741211,324,88.9000015258789,259.20098876953125,2022-12-19 18:34:35.696988,2022-12-28 18:34:35.696988
9866.HK,90.25,308,78.8499984741211,-3511.200469970703,2022-12-22 18:34:35.696988,2022-12-28 18:34:35.696988
1211.HK,193.0,139,201.60000610351562,1195.4008483886719,2022-12-28 18:34:35.696988,2023-01-03 18:34:35.696988
9866.HK,78.1500015258789,346,80.19999694824219,709.2984161376953,2022-12-29 18:34:35.696988,2023-01-03 18:34:35.696988
9866.HK,80.19999694824219,344,81.05000305175781,292.402099609375,2023-01-03 18:34:35.696988,2023-01-09 18:34:35.696988
0316.HK,135.6999969482422,203,139.1999969482422,710.5,2023-01-06 18:34:35.696988,2023-01-11 18:34:35.696988
9866.HK,86.05000305175781,323,91.94999694824219,1905.6980285644531,2023-01-10 18:34:35.696988,2023-01-13 18:34:35.696988
3690.HK,173.0,162,165.60000610351562,-1198.7990112304688,2023-01-12 18:34:35.696988,2023-01-16 18:34:35.696988
3690.HK,165.60000610351562,170,172.39999389648438,1155.9979248046875,2023-01-16 18:34:35.696988,2023-01-26 18:34:35.696988
9626.HK,217.1999969482422,131,199.8000030517578,-2279.399200439453,2023-01-26 18:34:35.696988,2023-01-30 18:34:35.696988
