Date,Stock,Gain,Total
2022-11-12,,,88401.36824733019
2022-11-13,,,88401.36824733019
2022-11-14,9908.HK,-434.5213122367859,87966.8469350934
2022-11-15,,,87966.8469350934
2022-11-16,,,87966.8469350934
2022-11-17,6199.HK,-1715.7012856006622,86251.14564949274
2022-11-18,,,86251.14564949274
2022-11-19,,,86251.14564949274
2022-11-20,,,86251.14564949274
2022-11-21,9633.HK,1561.5,87812.64564949274
2022-11-22,6199.HK,1102.9489481449127,88915.59459763765
2022-11-23,,,88915.59459763765
2022-11-24,9908.HK,470.7286877632141,89386.32328540087
2022-11-25,,,89386.32328540087
2022-11-26,,,89386.32328540087
2022-11-27,,,89386.32328540087
2022-11-28,,,89386.32328540087
2022-11-29,,,89386.32328540087
2022-11-30,,,89386.32328540087
2022-12-01,9633.HK,-1839.0984115600584,87547.22487384081
2022-12-02,6117.HK,4235.701370537281,91782.92624437809
2022-12-03,,,91782.92624437809
2022-12-04,,,91782.92624437809
2022-12-05,9908.HK,-155.27985191345215,91627.64639246464
2022-12-06,6199.HK,0.0,91627.64639246464
2022-12-07,,,91627.64639246464
2022-12-08,,,91627.64639246464
2022-12-09,,,91627.64639246464
2022-12-10,,,91627.64639246464
2022-12-11,,,91627.64639246464
2022-12-12,9633.HK,1388.0,93015.64639246464
2022-12-13,,,93015.64639246464
2022-12-14,,,93015.64639246464
2022-12-15,9908.HK,1203.4216289520264,94219.06802141666
2022-12-16,6199.HK,0.0,94219.06802141666
2022-12-17,,,94219.06802141666
2022-12-18,,,94219.06802141666
2022-12-19,,,94219.06802141666
2022-12-20,,,94219.06802141666
2022-12-21,,,94219.06802141666
2022-12-22,9633.HK,-520.5,93698.56802141666
2022-12-23,,,93698.56802141666
2022-12-24,,,93698.56802141666
2022-12-25,,,93698.56802141666
2022-12-26,,,93698.56802141666
2022-12-27,,,93698.56802141666
2022-12-28,6199.HK,3344.0,97042.56802141666
2022-12-29,9938.HK,266.421554915607,97308.98957633227
2022-12-30,6117.HK,1911.5381770133968,99220.52775334567
2022-12-31,,,99220.52775334567
2023-01-01,,,99220.52775334567
2023-01-02,,,99220.52775334567
2023-01-03,6199.HK,-2093.3809394836426,97127.14681386203
2023-01-04,,,97127.14681386203
2023-01-05,,,97127.14681386203
2023-01-06,,,97127.14681386203
2023-01-07,,,97127.14681386203
2023-01-08,,,97127.14681386203
2023-01-09,9938.HK,0.0,97127.14681386203
2023-01-10,6199.HK,-1915.3381733894348,95211.80864047259
2023-01-11,6199.HK,-1412.7020208835602,93799.10661958903
2023-01-12,6117.HK,2169.601163864136,95968.70778345317
2023-01-13,,,95968.70778345317
2023-01-14,,,95968.70778345317
2023-01-15,,,95968.70778345317
2023-01-16,,,95968.70778345317
2023-01-17,,,95968.70778345317
2023-01-18,,,95968.70778345317
2023-01-19,9938.HK,-574.4030242413282,95394.30475921184
2023-01-20,,,95394.30475921184
2023-01-21,,,95394.30475921184
2023-01-22,,,95394.30475921184
2023-01-23,,,95394.30475921184
2023-01-24,,,95394.30475921184
2023-01-25,,,95394.30475921184
2023-01-26,,,95394.30475921184
2023-01-27,,,95394.30475921184
2023-01-28,,,95394.30475921184
2023-01-29,,,95394.30475921184
2023-01-30,,,95394.30475921184
2023-01-31,,,95394.30475921184
2023-02-01,,,95394.30475921184
