STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
4732.T,2243.96826171875,200,2475.640625,46334.47265625,10.32,2022-06-24 08:59:08.679575,2022-07-20 08:59:08.679575,17,23.403501508216102,18.650802498481728,696.4338919227658
8410.T,247.95843505859375,500,246.0728302001953,-942.8024291992188,-0.76,2022-07-05 08:59:08.679575,2022-07-20 08:59:08.679575,11,91.76467826952953,88.37842679609238,24.133338521199107
8802.T,1877.5771484375,700,1888.7099609375,7792.96875,0.59,2022-07-13 08:59:08.679575,2022-07-22 08:59:08.679575,7,40.72607243300992,35.32323530398062,329.4722295372002
6670.T,913.31103515625,600,920.0691528320312,4054.87060546875,0.74,2022-07-20 08:59:08.679575,2022-07-28 08:59:08.679575,6,73.90419247567301,60.70374759857158,218.099305305175
6724.T,1852.3096923828125,300,1915.94970703125,19092.00439453125,3.44,2022-07-04 08:59:08.679575,2022-07-29 08:59:08.679575,19,5.76867608737692,4.26194829130703,615.8899511401356
8876.T,2083.07763671875,400,2150.019775390625,26776.85546875,3.21,2022-07-22 08:59:08.679575,2022-08-05 08:59:08.679575,10,37.52663162444937,30.11118553878229,466.24604148053135
6055.T,1842.9603271484375,300,1903.4339599609375,18142.08984375,3.28,2022-07-21 08:59:08.679575,2022-08-08 08:59:08.679575,12,21.64672752765986,12.190607437165026,538.6652228328894
2413.T,4642.51904296875,100,4658.42822265625,1590.91796875,0.34,2022-08-01 08:59:08.679575,2022-08-09 08:59:08.679575,6,61.595203831479715,44.54370844830042,490.549584292907
8804.T,1873.356689453125,700,1969.27880859375,67145.4833984375,5.12,2022-07-28 08:59:08.679575,2022-08-12 08:59:08.679575,11,71.22017270643688,66.92695544487137,351.82615120563617
3402.T,700.850830078125,100,748.8861083984375,4803.52783203125,6.85,2022-08-04 08:59:08.679575,2022-08-19 08:59:08.679575,11,58.74813521619391,57.51934858364683,31.713758560954943
4911.T,5591.12646484375,100,5365.90087890625,-22522.55859375,-4.03,2022-08-05 08:59:08.679575,2022-08-22 08:59:08.679575,11,51.17628697836415,35.737582570039926,557.3002835281771
4612.T,1060.4703369140625,800,1042.6639404296875,-14245.1171875,-1.68,2022-08-08 08:59:08.679575,2022-08-23 08:59:08.679575,11,30.739711048060162,23.73237073726194,603.8342486022956
4523.T,5921.517578125,200,5590.3388671875,-66235.7421875,-5.59,2022-08-12 08:59:08.679575,2022-08-23 08:59:08.679575,7,36.615378833828885,27.73757155303113,620.49356207414
4151.T,3061.65576171875,100,3076.37548828125,1471.97265625,0.48,2022-08-10 08:59:08.679575,2022-08-25 08:59:08.679575,11,41.21065441099307,27.889066804775542,613.830989885284
7164.T,4370.17529296875,100,4496.4248046875,12624.951171875,2.89,2022-08-19 08:59:08.679575,2022-09-05 08:59:08.679575,11,50.38461190706146,35.68315915245679,557.911427385133
8570.T,1352.9420166015625,500,1367.27392578125,7165.95458984375,1.06,2022-08-30 08:59:08.679575,2022-09-07 08:59:08.679575,6,62.39615975769448,52.81522627280786,578.0303891693256
8354.T,2343.864013671875,400,2337.2509765625,-2645.21484375,-0.28,2022-08-25 08:59:08.679575,2022-09-08 08:59:08.679575,10,84.78259029417998,81.13536314439264,33.254983558301305
4768.T,4502.23291015625,200,4274.2099609375,-45604.58984375,-5.06,2022-09-08 08:59:08.679575,2022-09-16 08:59:08.679575,5,38.38172698840516,23.67191831389593,630.3433785314584
2801.T,8697.9462890625,100,8232.337890625,-46560.83984375,-5.35,2022-09-13 08:59:08.679575,2022-09-16 08:59:08.679575,3,37.24141983412063,25.8126786461007,645.9701820766103
5411.T,1359.576171875,100,1360.501708984375,92.5537109375,0.07,2022-09-15 08:59:08.679575,2022-09-20 08:59:08.679575,3,43.500017373936785,39.84728638661219,470.3024692302919
6857.T,1812.083984375,400,1720.77734375,-36522.65625,-5.04,2022-09-09 08:59:08.679575,2022-09-21 08:59:08.679575,7,14.841616321789695,9.87990533702076,631.7224995958773
5019.T,3245.989501953125,200,3033.369873046875,-42523.92578125,-6.55,2022-09-20 08:59:08.679575,2022-09-26 08:59:08.679575,4,22.79572924543218,22.794721811427948,464.47255218043847
9744.T,2254.451416015625,300,2158.276611328125,-28852.44140625,-4.27,2022-09-12 08:59:08.679575,2022-09-28 08:59:08.679575,12,13.402162995813768,8.606590641581787,659.2700247770802
2897.T,9800.580078125,100,9835.595703125,3501.5625,0.36,2022-09-27 08:59:08.679575,2022-10-06 08:59:08.679575,6,35.25989428887242,22.13270373301132,503.16419474067146
4206.T,3009.9794921875,100,3053.46240234375,4348.291015625,1.44,2022-10-03 08:59:08.679575,2022-10-12 08:59:08.679575,6,45.18448977280438,39.14362903933359,432.83649854466785
8058.T,4091.9794921875,100,3869.096435546875,-22288.3056640625,-5.45,2022-10-04 08:59:08.679575,2022-10-13 08:59:08.679575,7,25.666150293456923,13.88041413392084,624.7721058472941
